id;name;residents2009;residents2013
1;Schleswig-Holstein;2234720;2251796
2;Hamburg;1400298;1281918
3;Niedersachsen;1256634;6117473
4;Bremen;6112110;483823
5;Nordrhein-Westfalen;487978;13253554
6;Hessen;2128715;4413271
7;Rheinland-Pfalz;2028572;3092424
8;Baden-Wuerttemberg;2471665;7689895
9;Bayern;13288291;9472738
10;Saarland;3518195;796072
11;Berlin;4398919;2505718
12;Brandenburg;1913559;2065944
13;Mecklenburg-Vorpommern;3103878;1350705
14;Sachsen;9382583;3406430
15;Sachsen-Anhalt;7633818;1930880
16;Thueringen;808554;1834259
