id;name;abkuerzung
1;Allianz der Mitte;ADM
2;Alternative fuer Deutschland;AfD
3;"Bergpartei, die ""UeberPartei""";B
4;Bund fuer Gesamtdeutschland;BGD
5;Buendnis fuer Innovation und Gerechtigkeit;BIG
6;Bayernpartei;BP
7;Buendnis 21/RRP;BUENDNIS 21/RRP
8;Buergerrechtsbewegung Solidaritaet;BUESO
9;Christlich-Demokratische Union Deutschlands;CDU
10;Christliche Mitte;CM
11;Christlich-Soziale Union in Bayern;CSU
12;Feministische Partei Die Frauen;DIE FRAUEN
13;Die Linke.;DIE LINKE
14;Partei fuer Arbeit, Rechtsstaat, Tierschutz, Elitefoerderung und basisdemokratische Initiative;DIE PARTEI
15;Die Rechte;DIE RECHTE
16;Die Violetten;DIE VIOLETTEN
17;Deutsche Kommunistische Partei;DKP
18;Deutsche Volksunion;DVU
19;Familien-Partei Deutschland;FAMILIE
20;Freie Demokraten;FDP
21;Freie Union;FREIE UNION
22;Bundesvereinigung Freie Waehler;FREIE WAEHLER
23;Buendnis 90/Die Gruenen;GRUENE
24;Marxistisch-Leninistische Partei Deutschlands;MLPD
25;Nein!-Idee;NEIN!
26;Partei der Nichtwaehler;NICHTWAEHLER
27;Nationaldemokratische Partei Deutschlands;NPD
28;Oekologisch-Demokratische Partei;OEDP
29;Partei der Vernunft;PARTEI DER VERNUNFT
30;Partei Bibeltreuer Christen;PBC
31;Piratenpartei;PIRATEN
32;Buergerbewegung pro Deutschland;PRO DEUTSCHLAND
33;Partei fuer Soziale Gleichheit;PSG
34;Rentner Partei;RENTNER
35;Die Republikaner;REP
36;Sozialdemokratische Partei Deutschlands;SPD
37;Partei Mensch Umwelt Tierschutz;TIERSCHUTZ
38;Ab jetzt ... Demokratie durch Volksabstimmung;VOLKSABSTIMMUNG
39;Deutsche Zentrumspartei;ZENTRUM
40;Parteilose;PARTEILOSE
