Land;Partei;Jahr
1;1;2009
1;2;2009
1;4;2009
1;5;2009
1;6;2009
1;9;2009
1;14;2009
1;22;2009
1;32;2009
2;1;2009
2;2;2009
2;4;2009
2;5;2009
2;6;2009
2;9;2009
2;11;2009
2;12;2009
2;22;2009
2;32;2009
3;1;2009
3;2;2009
3;4;2009
3;5;2009
3;6;2009
3;9;2009
3;10;2009
3;12;2009
3;20;2009
3;22;2009
3;23;2009
3;32;2009
4;1;2009
4;2;2009
4;4;2009
4;5;2009
4;6;2009
4;9;2009
4;10;2009
4;11;2009
4;12;2009
4;15;2009
4;19;2009
4;22;2009
4;25;2009
4;30;2009
4;31;2009
4;32;2009
5;1;2009
5;2;2009
5;4;2009
5;5;2009
5;6;2009
5;9;2009
5;11;2009
5;12;2009
5;13;2009
5;22;2009
5;25;2009
5;32;2009
6;1;2009
6;2;2009
6;4;2009
6;5;2009
6;6;2009
6;7;2009
6;9;2009
6;11;2009
6;14;2009
6;21;2009
6;22;2009
6;32;2009
7;1;2009
7;2;2009
7;4;2009
7;5;2009
7;6;2009
7;7;2009
7;8;2009
7;9;2009
7;12;2009
7;22;2009
7;25;2009
7;32;2009
8;1;2009
8;2;2009
8;4;2009
8;5;2009
8;6;2009
8;8;2009
8;9;2009
8;11;2009
8;13;2009
8;15;2009
8;20;2009
8;22;2009
8;23;2009
8;24;2009
8;28;2009
8;31;2009
8;32;2009
9;1;2009
9;2;2009
9;4;2009
9;5;2009
9;6;2009
9;8;2009
9;9;2009
9;10;2009
9;11;2009
9;12;2009
9;14;2009
9;15;2009
9;17;2009
9;18;2009
9;22;2009
9;23;2009
9;24;2009
9;28;2009
9;32;2009
10;1;2009
10;2;2009
10;4;2009
10;5;2009
10;6;2009
10;8;2009
10;9;2009
10;12;2009
10;15;2009
10;19;2009
10;20;2009
10;22;2009
10;24;2009
10;27;2009
10;29;2009
10;31;2009
10;32;2009
11;1;2009
11;2;2009
11;4;2009
11;5;2009
11;6;2009
11;8;2009
11;9;2009
11;10;2009
11;11;2009
11;12;2009
11;14;2009
11;15;2009
11;22;2009
11;24;2009
11;26;2009
11;31;2009
11;32;2009
12;1;2009
12;2;2009
12;4;2009
12;5;2009
12;6;2009
12;8;2009
12;9;2009
12;11;2009
12;12;2009
12;14;2009
12;22;2009
12;32;2009
13;1;2009
13;2;2009
13;4;2009
13;5;2009
13;6;2009
13;8;2009
13;9;2009
13;12;2009
13;14;2009
13;22;2009
13;32;2009
14;1;2009
14;3;2009
14;4;2009
14;5;2009
14;6;2009
14;8;2009
14;9;2009
14;11;2009
14;12;2009
14;13;2009
14;14;2009
14;15;2009
14;16;2009
14;22;2009
14;28;2009
14;31;2009
14;32;2009
15;1;2009
15;2;2009
15;4;2009
15;5;2009
15;6;2009
15;8;2009
15;9;2009
15;11;2009
15;12;2009
15;14;2009
15;15;2009
15;22;2009
15;23;2009
15;32;2009
16;1;2009
16;2;2009
16;4;2009
16;5;2009
16;6;2009
16;9;2009
16;11;2009
16;14;2009
16;22;2009
16;32;2009
